Year,arrests_white,arrests_black
1985,7316338,2887787
1986,7369627,3030604
1987,7281124,3150226
1988,6902764,3065436
1989,7443137,3436813
1990,7977022,3360875
1991,7279941,3130146
1992,8084832,3879158
1993,7719210,3795728
1994,7799661,3687322
1995,7779000,3804236
1996,7519346,3454274
1997,7514438,3644199
1998,7353283,3465452
1999,7046448,3226202
2000,7083532,3222054
2001,7162970,3240835
2002,7215471,2873643
2003,7148604,2811407
2004,7347195,2830283
2005,7427804,2958655
2006,7522654,3003033
2007,7666161,3071598
2008,7618838,3079842
2009,7593956,3061895
2010,7300092,2917928
2011,6850303,2764801
2012,6784520,2762938
2013,6552465,2574160
2014,6198325,2482775
2015,6054696,2358352
2016,6121778,2386248
2017,5944129,2341599
2018,5798755,2340967
2019,5236036,2063765
2020,3771245,1413290
2021,2899861,1178386
2022,4121969,1701893
